service,kasan_key,kasan_display_name,legal_review_reason,structural_issue_type,official_source_id,official_page_or_section,internal_legacy_code,receipt_detection_pattern,current_overall_mapping_status,why_not_checked,legal_question,reference_needed,recommended_next_step,reviewer_decision,reviewer_name,reviewed_at,review_note
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_I_under30,複数名訪問看護加算(Ⅰ)・30分未満,確定版で複数名訪問看護加算は基本サービスコード（13 1017〜等）に組み込まれた構造。独立コードではないため、社内マスタの kasan_key 単位での mapping_status は確定不可。alpha.4.5 で kasan-level 単位確認済。,基本サービスコードへの付加加算（独立コードなし・PDF検出のみ）,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),,複数名Ⅰ・<30,needs_review,確定版サービスコード表に独立コードが見当たらず、構造解釈が必要なため checked 昇格しない。 法令解釈の確認後に再評価する。,加算「複数名訪問看護加算(Ⅰ)・30分未満」: 確定版サービスコード表では独立した加算行が見当たらず、基本サービスコードに付加される構造の可能性。 算定基準告示・大臣基準告示・解釈通知（老企第36号 等）でどのように扱われているか、 法令確認者の確認が必要です。,介護報酬告示（厚労告）/ 大臣基準告示 / 老企第36号「指定居宅サービスに要する費用の額の算定に関する基準」の解釈通知 / 最新の事務連絡（その2・その3 等）,candidate: escalate_legal_review (reviewer判断),,,,
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_I_over30,複数名訪問看護加算(Ⅰ)・30分以上,同上,基本サービスコードへの付加加算（独立コードなし・PDF検出のみ）,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),,複数名Ⅰ・≧30,needs_review,確定版サービスコード表に独立コードが見当たらず、構造解釈が必要なため checked 昇格しない。 法令解釈の確認後に再評価する。,加算「複数名訪問看護加算(Ⅰ)・30分以上」: 確定版サービスコード表では独立した加算行が見当たらず、基本サービスコードに付加される構造の可能性。 算定基準告示・大臣基準告示・解釈通知（老企第36号 等）でどのように扱われているか、 法令確認者の確認が必要です。,介護報酬告示（厚労告）/ 大臣基準告示 / 老企第36号「指定居宅サービスに要する費用の額の算定に関する基準」の解釈通知 / 最新の事務連絡（その2・その3 等）,candidate: escalate_legal_review (reviewer判断),,,,
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_II_under30,複数名訪問看護加算(Ⅱ)・30分未満,同上,基本サービスコードへの付加加算（独立コードなし・PDF検出のみ）,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),,複数名Ⅱ・<30,needs_review,確定版サービスコード表に独立コードが見当たらず、構造解釈が必要なため checked 昇格しない。 法令解釈の確認後に再評価する。,加算「複数名訪問看護加算(Ⅱ)・30分未満」: 確定版サービスコード表では独立した加算行が見当たらず、基本サービスコードに付加される構造の可能性。 算定基準告示・大臣基準告示・解釈通知（老企第36号 等）でどのように扱われているか、 法令確認者の確認が必要です。,介護報酬告示（厚労告）/ 大臣基準告示 / 老企第36号「指定居宅サービスに要する費用の額の算定に関する基準」の解釈通知 / 最新の事務連絡（その2・その3 等）,candidate: escalate_legal_review (reviewer判断),,,,
houmon_kango_kaigo,fukusu_mei_houmon_kango_kasan_II_over30,複数名訪問看護加算(Ⅱ)・30分以上,同上,基本サービスコードへの付加加算（独立コードなし・PDF検出のみ）,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),,複数名Ⅱ・≧30,needs_review,確定版サービスコード表に独立コードが見当たらず、構造解釈が必要なため checked 昇格しない。 法令解釈の確認後に再評価する。,加算「複数名訪問看護加算(Ⅱ)・30分以上」: 確定版サービスコード表では独立した加算行が見当たらず、基本サービスコードに付加される構造の可能性。 算定基準告示・大臣基準告示・解釈通知（老企第36号 等）でどのように扱われているか、 法令確認者の確認が必要です。,介護報酬告示（厚労告）/ 大臣基準告示 / 老企第36号「指定居宅サービスに要する費用の額の算定に関する基準」の解釈通知 / 最新の事務連絡（その2・その3 等）,candidate: escalate_legal_review (reviewer判断),,,,
houmon_kango_kaigo,chouji_kan_houmon_kango_kasan,長時間訪問看護加算,確定版で長時間訪問看護加算は基本サービスコードへの追加加算として組み込まれた構造。alpha.4.5 で kasan-level 確認済だが service_code 単独 mapping は確定不可。,基本サービスコードへの付加加算（独立コードなし・PDF検出のみ）,WAM_R7_8_DEFINITIVE_2025_03_28,訪問介護 p1-107 / 訪問看護 p109-129 / 通所介護 p130-144 / 居宅介護支援 p318-332 (R7.4と同一構造),,長時間,needs_review,確定版サービスコード表に独立コードが見当たらず、構造解釈が必要なため checked 昇格しない。 法令解釈の確認後に再評価する。,加算「長時間訪問看護加算」: 確定版サービスコード表では独立した加算行が見当たらず、基本サービスコードに付加される構造の可能性。 算定基準告示・大臣基準告示・解釈通知（老企第36号 等）でどのように扱われているか、 法令確認者の確認が必要です。,介護報酬告示（厚労告）/ 大臣基準告示 / 老企第36号「指定居宅サービスに要する費用の額の算定に関する基準」の解釈通知 / 最新の事務連絡（その2・その3 等）,candidate: escalate_legal_review (reviewer判断),,,,

# alpha.5.9 master review packet generated at 2026-05-10
# base_commit: 2f5245e9b2cba759e1aec7d0c47e6041ae512e81
# reviewer_decision values: escalate_legal_review | mark_structural_mismatch | keep_pattern_based_unverified | defer_until_r8_definitive
# 法令解釈は本packet では推測で埋めない。法令確認者の確認結果のみを reviewer_decision に記録する。
